100002	1
100009	0
100010	1
100012	0
100014	1
100016	1
100017	2	9
100018	1
100019	1
100024	0
100025	1	9
100026	8
100029	0
100033	8
100035	1
100039	2
100040	0
100042	1
100043	0
100045	1
100046	1
100047	3
100048	1
100049	1
100051	0
100053	1
100058	0
100062	8
100064	0
100066	0
100072	0
100074	1
100078	1	9
100080	0
100081	0
100082	1
100083	2
100088	8
100091	1
100092	1
100097	8	9
100099	2
100106	0
100107	1
100109	1
100111	2
100112	1
100113	0
100114	3
100115	1
100116	1
100121	2
100124	1
100126	0
100127	1
100128	1
100130	1
100133	6
100135	2
100139	1
100140	1
100142	1
100145	1
100146	1
100148	1
100150	0
100151	3
100153	1
100155	1
100157	0
100159	1
100160	1
100165	1
100168	1
100176	1
100177	1
100178	1
100179	1
100181	1
100187	2
100191	0
100193	1
100197	2
100199	0
100201	8
100202	1
100204	0
100206	1	9
100211	0
100215	0
100217	1
100218	1
100220	0
100222	1	9
100224	0
100225	0
100228	1
100229	0
100230	0
100231	1
100232	0
100234	0
100235	1
100239	2
100240	1
100241	1
100245	0
100246	0
100249	2
100250	0
100251	8
100253	0
100254	0
100256	2
100258	1
100259	1
100260	1	9
100262	0
100263	0
100264	0
100266	0
100267	8
100270	2
100272	0
100279	1
100280	0
100284	0	9
100285	2
100286	2
100287	1
100296	2
100297	0	9
100302	2
100303	0
100304	2	9
100306	8
100307	2
100309	8
100310	1
100316	8
100317	2
100318	1
100321	1
100324	0
100327	1
100330	2
100331	2
100334	2
100342	13
100344	1	9
100345	2	9
100346	2
100349	1
100351	1	9
100352	0
100354	1
100355	0
100356	2
100360	1
100362	8
100363	8	9
100366	1
100367	8
100368	0
100369	0
100370	0
100371	1
100372	0
100376	1
100378	1
100379	1
100380	8
100383	0
100388	2
100389	2	9
100391	0
100395	0
100398	1
100400	3
100401	1
100402	1
100405	1
100408	2
100409	8
100411	8
100413	0
100416	2
100417	1
100420	1
100422	1
100423	1
100424	0
100425	0
100429	0
100431	1
100433	3
100434	2
100435	2
100436	2
100437	1
100438	1
100439	0
100442	0
100443	1
100444	1
100445	3
100446	1
100450	8
100452	0
100453	0
100458	1
100459	1
100463	1
100471	1
100473	8
100481	0
100482	2
100484	1
100485	2
100487	0
100491	0
100496	0
100498	1
100501	1
100503	1
100505	2
100507	2
100508	1
100509	1
100510	1
100511	0
100512	3
100513	0
100520	2
100528	0
100529	1
100532	1
100534	2
100536	2
100538	0
100539	2
100542	1
100544	0
100545	1
100547	1
100548	1
100549	1
100551	1
100553	1
100561	0
100563	0
100566	2
100567	2
100569	0
100570	1
100573	0
100575	0	9
100577	0
100578	0
100579	0
100580	0
100581	0
100584	0
100585	0
100586	0
100589	2
100590	0
100591	0
100592	2
100593	1	9
100599	1	9
100603	1
100605	1
100606	1
100608	0
100609	0
100612	1
100614	0
100616	0
100618	0
100620	1
100621	1
100623	1
100624	2
100627	1
100628	1
100629	1
100631	0
100636	0
100637	0
100638	1
100641	0
100644	0
100645	1
100646	0
100651	0
100654	2
100657	0
100660	2
100661	2	9
100665	1
100669	0
100672	1
100673	0
100680	2
100684	0
100686	1
100687	1
100688	1
100697	1
100699	8
100701	1
100706	0
100708	2
100710	2
100717	1
100718	2
100719	2
100725	0
100727	2
100730	13
100733	0	9
100735	8	9
