16842	0	0	1	3	15	104	293	1218	1216	1170
16843	0	0	1	3	17	113	306	1211	1242	1190
16844	0	0	1	3	22	117	310	1213	1252	1203
16845	0	0	1	4	23	120	309	1219	1266	1218
16846	0	0	1	6	27	131	324	1212	1285	1245
16847	0	0	0	8	38	135	331	1206	1303	1280
16848	0	0	2	8	46	151	352	1198	1316	1304
16849	0	0	1	10	53	183	346	1192	1357	1332
16850	0	0	2	12	56	190	353	1195	1384	1359
16851	0	0	2	10	70	213	363	1189	1406	1373
16852	0	0	1	25	75	219	374	1194	1427	1403
16853	0	0	1	24	82	213	371	1187	1470	1412
16854	0	0	1	17	84	210	363	1183	1488	1415
16855	0	0	1	14	85	199	357	1168	1521	1416
16856	0	0	1	13	81	192	353	1152	1546	1424
16857	0	0	1	12	75	187	341	1164	1561	1421
16858	0	0	1	11	68	171	339	1179	1559	1434
16859	0	0	1	12	61	174	337	1178	1564	1435
16860	0	0	1	12	60	174	337	1174	1569	1435
16861	0	0	1	12	57	170	338	1170	1575	1439
16862	0	0	1	11	52	164	334	1160	1586	1454
16863	0	0	1	8	52	159	329	1135	1617	1461
16864	0	0	0	8	43	152	330	1115	1655	1459
16865	0	0	0	7	43	149	326	1105	1671	1461
16866	0	0	0	6	39	142	318	1080	1701	1477
16867	0	0	0	6	28	127	305	1014	1781	1502
16868	0	0	0	6	24	116	298	968	1833	1519
16869	0	0	0	6	17	110	271	875	1930	1555
16870	0	0	0	4	15	103	255	816	1996	1575
16871	0	0	0	2	12	98	246	773	2031	1602
16872	0	0	0	2	12	92	247	754	2047	1610
16873	0	0	0	1	11	88	247	703	2086	1628
